Roll No.,Name,Class/Section,DOB,Fathers Name,Mothers Name,Father Email Address,Father Mobile Number,Mothers Email Address,Mothers Phone Number,Student Email Address,Student Phone Number,address
111011,Vedant Kulkarni,11-A,03-11-2006,Prakash Kulkarni,Sunita Kulkarni,pkulkarni@hotmail.com,7290218138,skulkarni@hotmail.com,8022114822,sunitakulkarni@hotmail.com,9267991241,NTR Gardens
111012,Meera Jain,11-A,19-12-2007,Rajeev Jain,Anjali Jain,rjain@outlook.com,7758645249,ajain@hotmail.com,7972612404,anjalijain@hotmail.com,8127808247,Shilparamam
111013,Vihaan Malhotra,11-A,25-01-2006,Sanjay Malhotra,Rekha Malhotra,smalhotra@outlook.com,7008147429,rmalhotra@yahoo.com,9854798481,rekhamalhotra@gmail.com,9610837283,Snow World
111014,Nisha Kapoor,11-A,07-02-2007,Arun Kapoor,Seema Kapoor,akapoor@yahoo.com,9998264519,skapoor@gmail.com,7455681457,seemakapoor@outlook.com,8414240158,Falaknuma Palace
111015,Karthik Menon,11-A,16-03-2007,Raghavan Menon,Lakshmi Menon,rmenon@gmail.com,7441327782,lmenon@outlook.com,8720931697,lakshmimenon@hotmail.com,8037434326,Necklace Road
111016,Anika Roy,11-A,24-04-2006,Amit Roy,Shilpa Roy,aroy@hotmail.com,7243125483,sroy@outlook.com,8718985799,shilparoy@gmail.com,9246472983,Paigah Tombs
111017,Pranav Singh,11-A,11-05-2007,Rajesh Singh,Pooja Singh,rsingh@hotmail.com,7565663000,psingh@outlook.com,9932008479,poojasingh@gmail.com,7078695717,Salar Jung Museum
111018,Shruti Deshmukh,11-A,02-06-2006,Manoj Deshmukh,Sunita Deshmukh,mdeshmukh@hotmail.com,8186186857,sdeshmukh@outlook.com,9008117966,sunitadeshmukh@outlook.com,7832036170,Manikonda
111019,Yash Thakur,11-A,17-07-2007,Vijay Thakur,Neelam Thakur,vthakur@hotmail.com,9324294701,nthakur@gmail.com,7401612372,neelamthakur@yahoo.com,7786127545,Kukatpally
111020,Pooja Bhat,11-A,28-08-2006,Ramesh Bhat,Sushila Bhat,rbhat@hotmail.com,8246140741,sbhat@yahoo.com,8753815024,sushilabhat@yahoo.com,8335536713,Banjara Hills
111021,Akhil Choudhary,11-A,05-09-2007,Rajendra Choudhary,Sunita Choudhary,rchoudhary@gmail.com,9341671046,schoudhary@yahoo.com,8495083084,sunitachoudhary@yahoo.com,8836428438,Ameerpet
111022,Riya Aggarwal,11-A,13-10-2006,Sanjeev Aggarwal,Kavita Aggarwal,saggarwal@outlook.com,9047270978,kaggarwal@gmail.com,8783022143,kavitaaggarwal@hotmail.com,8137413986,Qutb Shahi Tombs
111023,Siddharth Mishra,11-A,20-11-2007,Anil Mishra,Shalini Mishra,amishra@hotmail.com,7324644640,smishra@gmail.com,7826672498,shalinimishra@yahoo.com,9142007284,Hussain Sagar Lake
111024,Sneha Verma,11-A,06-12-2006,Rajeev Verma,Neelam Verma,rverma@hotmail.com,9546127540,nverma@yahoo.com,7202828698,neelamverma@yahoo.com,7323650570,KBR National Park
111025,Harsh Goel,11-A,15-01-2006,Vinod Goel,Sunita Goel,vgoel@yahoo.com,7847552478,sgoel@outlook.com,9452726758,sunitagoel@gmail.com,7782972276,Begumpet
111026,Tanvi Saxena,11-A,22-02-2007,Ashok Saxena,Pooja Saxena,asaxena@yahoo.com,7884512874,psaxena@hotmail.com,7996086450,poojasaxena@yahoo.com,8569063823,Durgam Cheruvu
111027,Nikhil Khanna,11-A,08-03-2006,Rajesh Khanna,Anita Khanna,rkhanna@yahoo.com,7484934734,akhanna@yahoo.com,8808532043,anitakhanna@gmail.com,7918811858,Lumbini Park
111028,Sanya Bajaj,11-A,27-04-2007,Amit Bajaj,Priya Bajaj,abajaj@yahoo.com,7967420456,pbajaj@yahoo.com,7970704914,priyabajaj@hotmail.com,9258021386,Purani Haveli
111029,Arnav Tiwari,11-A,04-05-2006,Manoj Tiwari,Meera Tiwari,mtiwari@hotmail.com,8798490302,mtiwari@gmail.com,7309043611,meeratiwari@gmail.com,7668912954,Mecca Masjid
111030,Isha Kaul,11-A,21-06-2007,Rajeev Kaul,Neelam Kaul,rkaul@gmail.com,8836967739,nkaul@yahoo.com,8590361782,neelamkaul@outlook.com,8475646068,Uppal
