Roll No.,Name,Class/Section,DOB,Fathers Name,Mothers Name,Father Email Address,Father Mobile Number,Mothers Email Address,Mothers Phone Number,Student Email Address,Student Phone Number,address
122017,Arpit Saxena,12-B,23-10-2006,Vinod Saxena,Meenal Saxena,msaxena@hotmail.com,7948823477,meenals@gmail.com,9192842324,arpitsaxena@outlook.com,8395383534,Chowmahalla Palace
122018,Tanisha Kaul,12-B,30-01-2004,Amit Kaul,Neha Kaul,nkaul@outlook.com,7893674461,nehak@outlook.com,9150228226,tanishakaul@outlook.com,7425364605,Kukatpally
122019,Vedika Das,12-B,06-03-2005,Arvind Das,Sunita Das,sdas@outlook.com,8748560018,sunitad@hotmail.com,8455585451,vedikadas@yahoo.com,9622461091,Charminar
122020,Nitin Sharma,12-B,19-07-2006,Anil Sharma,Simran Sharma,ssharma@yahoo.com,8021269794,simrans@yahoo.com,8684171567,nitinsharma@outlook.com,7303213115,Hussain Sagar Lake
122021,Akriti Mehta,12-B,11-02-2004,Rajeev Mehta,Pooja Mehta,pmehta@outlook.com,7686028996,poojam@yahoo.com,7954907257,akritimehta@yahoo.com,9084958188,Gachibowli
122022,Saurav Tiwari,12-B,04-11-2005,Sunil Tiwari,Suman Tiwari,stiwari@gmail.com,9445175155,sumant@outlook.com,9826997163,sauravtiwari@gmail.com,7849844839,Wonderla Amusement Park
122023,Kiara Malhotra,12-B,12-09-2004,Rajeev Malhotra,Priya Malhotra,pmalhotra@hotmail.com,9118719218,priyam@gmail.com,7183840820,kiaramalhotra@gmail.com,7573414963,KBR National Park
122024,Omkar Choudhary,12-B,05-05-2006,Vinay Choudhary,Shilpa Choudhary,schoudhary@hotmail.com,8908781934,shilpac@yahoo.com,7690724146,omkarchoudhary@yahoo.com,7594556550,Lumbini Park
122025,Anjali Pandey,12-B,24-01-2006,Rakesh Pandey,Geeta Pandey,gpandey@outlook.com,9188572373,geetap@gmail.com,7738910956,anjalipandey@gmail.com,7292690921,Jubilee Hills
122026,Dhruv Mahajan,12-B,21-09-2005,Rajesh Mahajan,Sunita Mahajan,smahajan@hotmail.com,9458351033,sunitam@outlook.com,7042844560,dhruvmahajan@outlook.com,9212186357,NTR Gardens
122027,Snehal Bansal,12-B,14-06-2006,Harish Bansal,Rekha Bansal,rbansal@yahoo.com,9149347072,rekhab@hotmail.com,9579737191,snehalbansal@outlook.com,8377429497,Purani Haveli
122028,Advait Pillai,12-B,27-02-2005,Raghav Pillai,Anjali Pillai,apillai@yahoo.com,8616193798,anjalip@hotmail.com,7656175138,advaitpillai@hotmail.com,7743380309,Shilparamam
122029,Pallavi Singh,12-B,16-11-2006,Rajeev Singh,Neelam Singh,nsingh@gmail.com,9002062942,neelams@gmail.com,9015473276,pallavisingh@yahoo.com,9183986472,Necklace Road
122030,Yuvraj Ahuja,12-B,01-10-2004,Arun Ahuja,Sushila Ahuja,sahuja@gmail.com,7787742978,sushilaa@outlook.com,9723001727,yuvrajahuja@gmail.com,7388346027,Dilsukhnagar
